threshold,close,min_size,dice,pq,sq,rq
0.4,1,1024,0.6286425879879386,0.35929356536576695,0.6072127304260082,0.5447499107035542
0.4,2,0,0.667841405841725,0.3458239085193675,0.6162770049872477,0.5245801403419502
0.4,2,128,0.6680293171365276,0.38405955433788436,0.6162770049872477,0.5832355923459803
0.4,2,256,0.6678173243303016,0.39389818462910936,0.6165137557364907,0.597844625555867
0.4,2,512,0.6618761166694493,0.3983290744627071,0.6169795967184432,0.6038522881550832
0.4,2,1024,0.6288205832550198,0.3599410374895431,0.607303274319584,0.5456343453621194
0.45,0,0,0.669012897069588,0.34570125248418593,0.6177624813094683,0.5228826110867262
0.45,0,128,0.6691834726204153,0.3862841417849641,0.6178881722611848,0.5850610238101865
0.45,0,256,0.6686626254421933,0.3969360612011125,0.6182711772398761,0.6006759125692553
0.45,0,512,0.6624407493619301,0.4008570808560775,0.6193219731306284,0.6053671387866967
0.45,0,1024,0.6266811425892058,0.3593084195575147,0.6096741425349682,0.5426856401055374
0.45,1,0,0.6688269132936852,0.34595146456836967,0.617285192063291,0.5237461917235307
0.45,1,128,0.6689914615761994,0.3859687307484201,0.6174095402597523,0.5850610238101865
0.45,1,256,0.668567942725132,0.3966092445038796,0.6176592878235991,0.6008167983419066
0.45,1,512,0.662320342036574,0.40042092966181736,0.6187816729649993,0.6052616635806962
0.45,1,1024,0.627314519510336,0.35968377588069494,0.6090275517320564,0.5438385954360287
0.45,2,0,0.6687571436351633,0.3473487923801104,0.6174983845764423,0.5257289797146839
0.45,2,128,0.6689291232518517,0.38620282047513005,0.6176126392916338,0.5852222447681946
0.45,2,256,0.6685272901414024,0.3965442639881561,0.6178612425524971,0.6005095045554196
0.45,2,512,0.6622658603408136,0.40026309330211585,0.6188586714205419,0.6049169179974218
0.45,2,1024,0.6272981732364085,0.35969067404579796,0.6091113226473487,0.5437468921804144
0.5,0,0,0.6697047095781371,0.34723875610835103,0.6194477638895765,0.5239495196081774
0.5,0,128,0.6697955192620668,0.3864816732515819,0.6196117193555093,0.5836009934904072
0.5,0,256,0.6693022677491621,0.39629395088036684,0.6200435557575729,0.5978290531955608
0.5,0,512,0.6616116241013761,0.4011727450158316,0.6214310657107047,0.6038723537536506
0.5,0,1024,0.6262331615176266,0.358401179475793,0.611317422399145,0.5394883131020403
0.5,1,0,0.6695851781252449,0.347960760561007,0.6187958329883104,0.5252707167690921
0.5,1,128,0.669651495075334,0.3861182099368002,0.6189540816161541,0.5833942391525451
0.5,1,256,0.6691564811477853,0.39593361625761286,0.6193421144702976,0.5976852111739325
0.5,1,512,0.6629127735000528,0.40065771644884157,0.6206441862141657,0.6034993156915853
0.5,1,1024,0.6270332637790227,0.35886311652939185,0.610864865364409,0.5404231980640143
0.5,2,0,0.6695487389536596,0.34844590001428183,0.619536755922854,0.5255395355229555
0.5,2,128,0.6695944713411578,0.38503390576885616,0.6196848994409971,0.5811194294006131
0.5,2,256,0.669098541529465,0.3948228307252938,0.6200739696672314,0.5953700479033769
0.5,2,512,0.6629613734218219,0.4004296519373568,0.6211435192697004,0.6026127906181992
0.5,2,1024,0.6269985951534623,0.35852694698286863,0.6110407945284758,0.5397290205175103
0.55,0,0,0.6702830606486968,0.34739199934334364,0.6210802186435053,0.5224086377459802
0.55,0,128,0.6704429818280098,0.38621089292469435,0.62126479220076,0.5813440033057291
0.55,0,256,0.6696468316907362,0.39717114587970304,0.6215290438231494,0.5976688632444452
0.55,0,512,0.6619738209694648,0.40176496767914577,0.6223731470437084,0.6036287114139761
0.55,0,1024,0.6228645047490228,0.35631095846329364,0.6075840435202633,0.5355879530022979
0.55,1,0,0.670323965471459,0.34817149172420253,0.6201265678169036,0.5242195080844139
0.55,1,128,0.6704793563578981,0.3870200121427841,0.6203110650984438,0.5833125219783308
0.55,1,256,0.6698352764751515,0.39781687762428375,0.6205577281876951,0.5993699771821484
0.55,1,512,0.6621148052371945,0.4030000830334517,0.62143094356312,0.6062339738028114
0.55,1,1024,0.6229517005209908,0.3559707562626204,0.6071089689879372,0.5355879530022979
0.55,2,0,0.6703014503827797,0.3500537909771035,0.6201787652989239,0.5269832966018703
0.55,2,128,0.6704295097549585,0.3877379369430025,0.6203529955843885,0.584399594967286
0.55,2,256,0.6697872608376159,0.3981514071350046,0.6206936768875134,0.5997984544376924
0.55,2,512,0.6618585576177685,0.4029282334720168,0.6217044310352133,0.6061312120812699
0.55,2,1024,0.6238820914007998,0.35565221264238334,0.6072829147527393,0.535162500993246
0.6,0,0,0.6709783122834236,0.3480272557275299,0.6226177945034004,0.522145433418491
