epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,5601.5,1.19372,1.53186,1.08168,1.23505,0,0.57792,0.59298,0.59385,0.33708,0.59767,0.58778,0.5987,0.21811,1.36653,1.60282,1.4105,1.41417,0,0.0006536,0.0006536,0.0006536
70,5678.72,1.19096,1.51735,1.05558,1.24176,0,0.66342,0.60338,0.64055,0.3663,0.65722,0.61638,0.64617,0.23741,1.35594,1.55678,1.23792,1.43196,0,0.0006338,0.0006338,0.0006338
71,5755.85,1.20588,1.5233,1.06516,1.25352,0,0.59013,0.6628,0.64426,0.37382,0.6212,0.64109,0.65767,0.24279,1.32958,1.55001,1.22155,1.39397,0,0.000614,0.000614,0.000614
72,5832.99,1.21486,1.51251,1.07736,1.25874,0,0.6035,0.64759,0.64805,0.37643,0.6526,0.61803,0.65727,0.24843,1.31224,1.53866,1.22449,1.38315,0,0.0005942,0.0005942,0.0005942
73,5910.16,1.20532,1.50377,1.06857,1.25734,0,0.62404,0.6554,0.64097,0.37302,0.64808,0.6632,0.66096,0.24346,1.33904,1.53611,1.19867,1.41319,0,0.0005744,0.0005744,0.0005744
74,5987.31,1.20935,1.51852,1.06146,1.25717,0,0.61651,0.63069,0.64032,0.37623,0.64999,0.62305,0.65418,0.24266,1.33431,1.57626,1.20032,1.41139,0,0.0005546,0.0005546,0.0005546
75,6064.6,1.20532,1.53582,1.06312,1.24982,0,0.63236,0.62679,0.6564,0.38115,0.63828,0.62289,0.65787,0.24256,1.32043,1.55183,1.19626,1.39556,0,0.0005348,0.0005348,0.0005348
76,6141.92,1.18311,1.51501,1.03292,1.22884,0,0.62308,0.64276,0.64911,0.3724,0.63856,0.64759,0.65346,0.2429,1.34559,1.56156,1.19935,1.42033,0,0.000515,0.000515,0.000515
77,6219.07,1.16641,1.52909,1.01821,1.22457,0,0.63606,0.64109,0.64558,0.37701,0.64276,0.64889,0.65507,0.24616,1.31952,1.54586,1.19918,1.39098,0,0.0004952,0.0004952,0.0004952
78,6296.17,1.17465,1.50196,1.01467,1.2292,0,0.61469,0.64499,0.64374,0.37478,0.63989,0.63777,0.65146,0.24248,1.32463,1.55466,1.19539,1.39736,0,0.0004754,0.0004754,0.0004754
79,6373.54,1.1521,1.50215,1.00102,1.22182,0,0.63397,0.65318,0.66308,0.38681,0.65737,0.63069,0.66276,0.24898,1.31731,1.53794,1.18292,1.39962,0,0.0004556,0.0004556,0.0004556
80,6451.31,1.16895,1.47292,0.99654,1.21146,0,0.64674,0.60233,0.6383,0.37557,0.66157,0.60208,0.6454,0.24074,1.33506,1.56074,1.23325,1.4192,0,0.0004358,0.0004358,0.0004358
81,6528.42,1.16856,1.51136,1.01087,1.21335,0,0.62233,0.6541,0.64311,0.37221,0.65129,0.63329,0.65046,0.24372,1.34357,1.54133,1.21681,1.41433,0,0.000416,0.000416,0.000416
